case_id,occupation_code,occupation_title,case_type,user_task,proposed_decision,proposed_expected_match,proposed_expected_ilo_task_id,proposed_reference_task_text,other_available_ilo_tasks,label_rationale,human_decision,human_corrected_ilo_task_id,reviewer,review_notes
e2-5221-exact-01,5221,Shopkeepers,exact_or_near_exact,"Determining product mix, stock and price levels for goods to be sold;",MATCH,true,1,"Determining product mix, stock and price levels for goods to be sold;","2: Purchasing and ordering goods for sale from markets, wholesalers and other suppliers; | 3: Budgeting and maintaining records of stock levels and financial transactions; | 4: Determining prices and displaying goods for sale; | 5: Selling goods to customers and advising them on product use; | 6: Examining returned goods and deciding on appropriate action; | 7: Taking inventory of goods in stock.",Same wording as ILO task 1.,,,,
e2-5221-exact-02,5221,Shopkeepers,exact_or_near_exact,"Purchasing and ordering goods for sale from markets, wholesalers and other suppliers;",MATCH,true,2,"Purchasing and ordering goods for sale from markets, wholesalers and other suppliers;","1: Determining product mix, stock and price levels for goods to be sold; | 3: Budgeting and maintaining records of stock levels and financial transactions; | 4: Determining prices and displaying goods for sale; | 5: Selling goods to customers and advising them on product use; | 6: Examining returned goods and deciding on appropriate action; | 7: Taking inventory of goods in stock.",Same wording as ILO task 2.,,,,
e2-5221-exact-03,5221,Shopkeepers,exact_or_near_exact,Taking an inventory of goods in stock.,MATCH,true,7,Taking inventory of goods in stock.,"1: Determining product mix, stock and price levels for goods to be sold; | 2: Purchasing and ordering goods for sale from markets, wholesalers and other suppliers; | 3: Budgeting and maintaining records of stock levels and financial transactions; | 4: Determining prices and displaying goods for sale; | 5: Selling goods to customers and advising them on product use; | 6: Examining returned goods and deciding on appropriate action;",Near-exact wording for inventory task 7.,,,,
e2-5221-exact-04,5221,Shopkeepers,exact_or_near_exact,Set prices and put goods on display for customers.,MATCH,true,4,Determining prices and displaying goods for sale;,"1: Determining product mix, stock and price levels for goods to be sold; | 2: Purchasing and ordering goods for sale from markets, wholesalers and other suppliers; | 3: Budgeting and maintaining records of stock levels and financial transactions; | 5: Selling goods to customers and advising them on product use; | 6: Examining returned goods and deciding on appropriate action; | 7: Taking inventory of goods in stock.",Near-exact wording for price/display task 4.,,,,
e2-5221-clear-01,5221,Shopkeepers,clear_paraphrase,Order merchandise from wholesalers to replenish the shop.,MATCH,true,2,"Purchasing and ordering goods for sale from markets, wholesalers and other suppliers;","1: Determining product mix, stock and price levels for goods to be sold; | 3: Budgeting and maintaining records of stock levels and financial transactions; | 4: Determining prices and displaying goods for sale; | 5: Selling goods to customers and advising them on product use; | 6: Examining returned goods and deciding on appropriate action; | 7: Taking inventory of goods in stock.",Ordering goods from suppliers corresponds to task 2.,,,,
e2-5221-clear-02,5221,Shopkeepers,clear_paraphrase,Keep records of store inventory and financial sales transactions.,MATCH,true,3,Budgeting and maintaining records of stock levels and financial transactions;,"1: Determining product mix, stock and price levels for goods to be sold; | 2: Purchasing and ordering goods for sale from markets, wholesalers and other suppliers; | 4: Determining prices and displaying goods for sale; | 5: Selling goods to customers and advising them on product use; | 6: Examining returned goods and deciding on appropriate action; | 7: Taking inventory of goods in stock.",Stock and financial-record keeping corresponds to task 3.,,,,
e2-5221-clear-03,5221,Shopkeepers,clear_paraphrase,Help customers choose products and explain how to use them.,MATCH,true,5,Selling goods to customers and advising them on product use;,"1: Determining product mix, stock and price levels for goods to be sold; | 2: Purchasing and ordering goods for sale from markets, wholesalers and other suppliers; | 3: Budgeting and maintaining records of stock levels and financial transactions; | 4: Determining prices and displaying goods for sale; | 6: Examining returned goods and deciding on appropriate action; | 7: Taking inventory of goods in stock.",Customer sales advice and product use corresponds to task 5.,,,,
e2-5221-clear-04,5221,Shopkeepers,clear_paraphrase,Decide what action to take on returned purchases.,MATCH,true,6,Examining returned goods and deciding on appropriate action;,"1: Determining product mix, stock and price levels for goods to be sold; | 2: Purchasing and ordering goods for sale from markets, wholesalers and other suppliers; | 3: Budgeting and maintaining records of stock levels and financial transactions; | 4: Determining prices and displaying goods for sale; | 5: Selling goods to customers and advising them on product use; | 7: Taking inventory of goods in stock.",Returned-goods decision corresponds to task 6.,,,,
e2-5221-difficult-01,5221,Shopkeepers,difficult_paraphrase,Choose which items the store should carry and their selling prices.,MATCH,true,1,"Determining product mix, stock and price levels for goods to be sold;","2: Purchasing and ordering goods for sale from markets, wholesalers and other suppliers; | 3: Budgeting and maintaining records of stock levels and financial transactions; | 4: Determining prices and displaying goods for sale; | 5: Selling goods to customers and advising them on product use; | 6: Examining returned goods and deciding on appropriate action; | 7: Taking inventory of goods in stock.",Product assortment and price-setting correspond to task 1.,,,,
e2-5221-difficult-02,5221,Shopkeepers,difficult_paraphrase,Count the items currently held on the shelves.,MATCH,true,7,Taking inventory of goods in stock.,"1: Determining product mix, stock and price levels for goods to be sold; | 2: Purchasing and ordering goods for sale from markets, wholesalers and other suppliers; | 3: Budgeting and maintaining records of stock levels and financial transactions; | 4: Determining prices and displaying goods for sale; | 5: Selling goods to customers and advising them on product use; | 6: Examining returned goods and deciding on appropriate action;",Physical stock count corresponds to task 7.,,,,
e2-5221-difficult-03,5221,Shopkeepers,difficult_paraphrase,Record the shop's cash and inventory figures for budgeting.,MATCH,true,3,Budgeting and maintaining records of stock levels and financial transactions;,"1: Determining product mix, stock and price levels for goods to be sold; | 2: Purchasing and ordering goods for sale from markets, wholesalers and other suppliers; | 4: Determining prices and displaying goods for sale; | 5: Selling goods to customers and advising them on product use; | 6: Examining returned goods and deciding on appropriate action; | 7: Taking inventory of goods in stock.",Budgeting with stock and transaction records corresponds to task 3.,,,,
e2-5221-difficult-04,5221,Shopkeepers,difficult_paraphrase,Arrange the presentation and pricing of merchandise.,MATCH,true,4,Determining prices and displaying goods for sale;,"1: Determining product mix, stock and price levels for goods to be sold; | 2: Purchasing and ordering goods for sale from markets, wholesalers and other suppliers; | 3: Budgeting and maintaining records of stock levels and financial transactions; | 5: Selling goods to customers and advising them on product use; | 6: Examining returned goods and deciding on appropriate action; | 7: Taking inventory of goods in stock.",Merchandise pricing/display corresponds to task 4.,,,,
e2-5221-related-01,5221,Shopkeepers,related_but_wrong_task,Design a seasonal advertising campaign for the shop.,ABSTAIN,false,,,"1: Determining product mix, stock and price levels for goods to be sold; | 2: Purchasing and ordering goods for sale from markets, wholesalers and other suppliers; | 3: Budgeting and maintaining records of stock levels and financial transactions; | 4: Determining prices and displaying goods for sale; | 5: Selling goods to customers and advising them on product use; | 6: Examining returned goods and deciding on appropriate action; | 7: Taking inventory of goods in stock.",Retail-related marketing is not one of this occupation's ILO tasks.,,,,
e2-5221-related-02,5221,Shopkeepers,related_but_wrong_task,Negotiate a lease for a new retail premises.,ABSTAIN,false,,,"1: Determining product mix, stock and price levels for goods to be sold; | 2: Purchasing and ordering goods for sale from markets, wholesalers and other suppliers; | 3: Budgeting and maintaining records of stock levels and financial transactions; | 4: Determining prices and displaying goods for sale; | 5: Selling goods to customers and advising them on product use; | 6: Examining returned goods and deciding on appropriate action; | 7: Taking inventory of goods in stock.",Premises leasing is absent from the 5221 candidate set.,,,,
e2-5221-related-03,5221,Shopkeepers,related_but_wrong_task,Submit payroll tax returns for the business.,ABSTAIN,false,,,"1: Determining product mix, stock and price levels for goods to be sold; | 2: Purchasing and ordering goods for sale from markets, wholesalers and other suppliers; | 3: Budgeting and maintaining records of stock levels and financial transactions; | 4: Determining prices and displaying goods for sale; | 5: Selling goods to customers and advising them on product use; | 6: Examining returned goods and deciding on appropriate action; | 7: Taking inventory of goods in stock.",Payroll tax filing is not a listed 5221 task.,,,,
