label4d,label1d,isco_08,title,task_id,task_text,score_2023,weaviate_status,predicted_score_2025_gpt4o,prediction_justification_gpt4o,weaviate_status_gemini,predicted_score_2025_gemini,prediction_justification_gemini,score_2025,source,mean_score_2023,mean_score_2025,sd_2023,sd_2025,potential25,potential23,source_year,source_dataset
1111 - Legislators,1 - Managers,1111,Legislators,1,"Presiding over or participating in the proceedings of legislative bodies and administrative councils of national, state, regional or local governments or legislative assemblies;",0.1,success,0.33,"The task of presiding over or participating in legislative bodies and administrative councils involves complex decision-making, negotiation, and significant human interaction with dynamic elements that are challenging for Generative AI to fully automate. Similar tasks such as overseeing regulations (with a score of 0.35) and participating in board meetings (with a score of 0.25) indicate partial automation potential due to the need for human judgment, interpersonal skills, and contextual understanding. While AI can aid in document preparation, data analysis, and procedural assistance, the nuanced human elements of governance, such as understanding political contexts and resolving interpersonal dynamics, are aspects where AI's capabilities are limited. Given that this task is performed in a high-income country like Poland with common access to technology, AI's supportive role can enhance efficiency but cannot replace the critical human presence required, resulting in a moderate adjusted score.",success,0.35,"The task of presiding over legislative proceedings involves elements that are difficult to automate with current Generative AI.  While AI could potentially assist with tasks such as summarizing speeches, generating meeting minutes, or even identifying potential conflicts based on past legislative records, the core functions of presiding—maintaining order, facilitating debate, making rulings, and navigating complex political dynamics—require human judgment, experience, and interpersonal skills that are currently beyond the capabilities of AI.  The semantically similar tasks provided, such as receiving opinions from voters (0.345), supervising legislation processes (0.35), and obtaining information from government officials (0.385), all received adjusted scores in the 0.3-0.4 range, reflecting the limited automation potential in tasks requiring significant human judgment, political acumen, and interpersonal skills.  The higher scores in the provided dataset are largely for tasks involving structured data processing, repetitive actions, or technical analysis, which are not central to the task of presiding over legislative proceedings.  Therefore, an adjusted score of 0.35 reflects the limited but present potential for AI assistance in streamlining certain administrative aspects of the task, while acknowledging the irreplaceable role of human expertise in the core functions of presiding.  The high internet penetration in Poland is considered, but the core aspects of the task remain firmly in the human domain.",0.34,predicted,0.22,0.31,0.07,0.04,Not Exposed,Not affected,2025,Gmyrek et al. 2025 ISCO-08 final scores
1111 - Legislators,1 - Managers,1111,Legislators,2,"Determining, formulating and directing policies of national, state, regional or local governments;",0.3,success,0.365,"The task of determining, formulating, and directing government policies involves high-level strategic decision-making, understanding complex socioeconomic factors, and navigating political landscapes, which are skills that Generative AI cannot fully replicate. The task shares similarities with other high-level strategic roles such as initiating and developing policies for a government department and directing a university department, which received adjusted scores of 0.37 and 0.38, respectively. These tasks highlight the need for human expertise in strategic oversight and policy formulation, areas where AI can assist by providing data analysis, trend forecasting, and initial document drafting but cannot fully automate the decision-making process. The context of performing this task in a high-income country like Poland supports the use of advanced AI tools to streamline certain aspects of data handling and analysis. Considering these factors, the adjusted score reflects AI's supportive role while acknowledging the significant human involvement necessary for the nuanced judgment and strategic leadership required in government policy-making.",success,0.35,"The task of ""Determining, formulating and directing policies of national, state, regional or local governments"" requires high-level strategic thinking, political acumen, and an understanding of complex societal and economic factors.  While generative AI can assist in research, data analysis, and potentially drafting policy options, it cannot replace the human element of judgment, negotiation, and political maneuvering inherent in policy development.  The provided examples of semantically similar tasks, such as ""Initiating and developing policies in relation to the managed government administration department"" (adjusted score 0.37 and 0.35), ""Developing strategies and production policies of the organization"" (adjusted score 0.375 and 0.38), and ""Directing the activities of a university department"" (adjusted score 0.385 and 0.38), all involve strategic decision-making but with varying degrees of political complexity.  These tasks consistently received adjusted scores in the 0.3-0.4 range, reflecting the limitations of current generative AI in handling complex human interactions and political considerations.  The high access to technology in Poland does not negate the need for human expertise in this highly nuanced and politically charged context.  Therefore, an adjusted score of 0.35 reflects a more accurate assessment of the task's current automatability with Generative AI, acknowledging the potential for AI assistance in data analysis and drafting but emphasizing the irreplaceable role of human judgment and political expertise.",0.3575,predicted,0.22,0.31,0.07,0.04,Not Exposed,Not affected,2025,Gmyrek et al. 2025 ISCO-08 final scores
1111 - Legislators,1 - Managers,1111,Legislators,3,"Making, ratifying, amending or repealing laws, public rules and regulations within a statutory or constitutional framework;",0.2,success,0.33,"The task of making, ratifying, amending, or repealing laws involves high levels of strategic judgment, political negotiation, and interpretation of complex legal frameworks, which are challenging for Generative AI to fully automate. The process requires contextual understanding, empathy in negotiations, and decision-making based on nuanced understanding of societal needs and legal principles. Considering the scores of semantically similar tasks such as ""Supervision over the legislation process of individual project phases"" and ""Conducting administrative proceedings,"" which received scores of 0.35 and 0.235 respectively, this task shares elements that demand significant human oversight and decision-making. While Generative AI can assist in drafting documents and performing data analysis to support legislative processes, the nuanced and complex nature of this task makes full automation unlikely. Additionally, being performed in a high-income country like Poland where access to technology is prevalent may slightly enhance AI's assistive role. Given these factors, a score of 0.33 reflects the balance between AI's supportive capabilities and the indispensable human elements inherent in legislative processes.",success,0.25,"The task of making, ratifying, amending, or repealing laws involves complex legal reasoning, political negotiation, and societal impact assessment—capabilities far beyond current Generative AI.  While AI could potentially assist with research, drafting initial legal text, or identifying potential inconsistencies in existing legislation (similar to tasks like preparing legal documents or summarizing regulations, which received adjusted scores around 0.35-0.4), the core decision-making processes require human judgment, expertise, and ethical considerations.  The tasks in the provided context with semantic proximity (supervising legislation, conducting administrative proceedings, complying with law) all received adjusted scores significantly below 0.5, reflecting the limitations of AI in handling complex legal and political processes.  Even in a high-income country like Poland with widespread access to technology, the inherently human aspects of lawmaking limit the automation potential to a very low level.  Therefore, an adjusted score of 0.25 reflects the potential for AI to offer limited support in research and drafting, but not to replace the human lawmakers.",0.29,predicted,0.22,0.31,0.07,0.04,Not Exposed,Not affected,2025,Gmyrek et al. 2025 ISCO-08 final scores
1111 - Legislators,1 - Managers,1111,Legislators,4,Serving on government administrative boards or official committees;,0.2,success,0.22,"The task of ""Serving on government administrative boards or official committees"" requires nuanced human judgment, strategic decision-making, interpersonal skills, and an understanding of complex political and administrative contexts. It involves tasks such as discussing policies, reviewing regulations, and making governance decisions, which are inherently reliant on human insight and cannot be fully automated with current generative AI capabilities. Similar tasks in the context, like ""Coordinating activities with other high-level officials in the diplomatic service"" (adjusted score: 0.2175) and ""Participating in Museum Board meetings"" (adjusted score: 0.25), highlight the need for human expertise in governance, strategic alignment, and interpersonal communication, which generative AI can only support to a limited extent. Generative AI might assist in drafting documents, organizing information, or providing data analysis, but the core decision-making and interactive components still require human intervention. Hence, an adjusted automation score of 0.22 reflects the limited but present role AI can play, acknowledging the essential human element in such government roles.",success,0.28,"The task of serving on government administrative boards or official committees involves significant human interaction, strategic decision-making, and nuanced understanding of policy and legal frameworks.  While Generative AI could potentially assist with tasks such as agenda preparation, summarizing documents, and drafting initial responses, the core responsibilities—participating in discussions, formulating policy recommendations, and making informed decisions—require human judgment, expertise, and interpersonal skills.  The provided examples of semantically similar tasks, such as participating in Museum Board meetings (score 0.25), ensuring cooperation of subordinate central offices (score 0.29), and obtaining information from government officials (score 0.385), all demonstrate a relatively low potential for automation due to the significant human element involved.  The higher scores in the provided dataset relate to tasks that are more data-driven and less reliant on nuanced human judgment.  Although access to computers and the internet in Poland is common, this does not significantly alter the inherently human-centric nature of the task.  Therefore, an adjusted score of 0.28 reflects the limited potential for automation, acknowledging AI's potential for supporting administrative tasks while emphasizing the irreplaceable role of human expertise in high-level decision-making and policy formulation.",0.25,predicted,0.22,0.31,0.07,0.04,Not Exposed,Not affected,2025,Gmyrek et al. 2025 ISCO-08 final scores
1111 - Legislators,1 - Managers,1111,Legislators,5,Investigating matters of concern to the public and promoting the interests of the constituencies which they represent;,0.3,success,0.34,"The task of ""Investigating matters of concern to the public and promoting the interests of the constituencies which they represent"" aligns with tasks involving interpersonal communication, decision-making, strategic thinking, and nuanced interpretation. Scores for semantically similar tasks, such as ""Receiving opinions, proposals, and requests from voters"" have an adjusted score of 0.345. This is due to the need for understanding political context, human judgment, and empathic communication, which are challenging to automate fully. Generative AI can assist in data processing, summarizing information, and detecting trends, but the inherent political acumen and decision-making required keep the automation potential moderate. The technological infrastructure in Poland allows for efficient AI integration, but the nature of this task still necessitates significant human involvement, aligning its score closer to other analogous tasks within the same semantic cluster that involve complex human factors and decision making. Thus, 0.34 reflects the balance between AI's supportive role and the essential human expertise required.",success,0.35,"The task of ""Investigating matters of concern to the public and promoting the interests of the constituencies which they represent"" involves a complex interplay of information gathering, analysis, communication, and political judgment.  This is similar to several tasks in the provided context, particularly those involving receiving opinions from constituents (score 0.345), obtaining information from government bodies (score 0.385), and creating arguments to present to public authorities (score 0.575).  While the latter task has a higher score due to its more structured nature (creating lists and arguments), the core task here involves more nuanced understanding of public sentiment, political dynamics, and effective communication.  Generative AI can assist in aspects like summarizing public opinions, analyzing data related to public concerns, and even drafting initial communication materials. However, the crucial elements of judgment, strategic decision-making, and effective representation of constituents' interests remain firmly in the human domain.  The adjusted scores of semantically similar tasks, ranging from 0.22 to 0.575, suggest a moderate potential for automation, primarily in supporting information processing and communication, but not in the core decision-making and representational aspects.  The high access to technology in Poland enhances AI's potential assistance, but does not eliminate the need for human expertise in this complex and context-dependent task.  Therefore, a score of 0.35 reflects a balance between AI's potential support and the continued necessity for human judgment and political acumen.",0.345,predicted,0.22,0.31,0.07,0.04,Not Exposed,Not affected,2025,Gmyrek et al. 2025 ISCO-08 final scores
1111 - Legislators,1 - Managers,1111,Legislators,6,"Attending community functions and meetings to provide service to the community, understand public opinion and provide information on government plans;",0.2,success,0.32,"The task of attending community functions and meetings to provide service to the community, understand public opinion, and provide information on government plans involves significant human interaction, understanding of nuanced social and political contexts, and real-time decision-making. These components are similar to several tasks from the context provided, particularly ""Receiving opinions, proposals, and requests from voters and their organizations"" (score: 0.345) and ""Performing work in the electoral district at the parliamentary office"" (score: 0.26). Both tasks require human judgment and interaction in political or community settings, limiting full automation potential through Generative AI. Generative AI can assist by organizing data, summarizing public discussions, and drafting communication materials related to government plans. However, the core functions of engagement, interpretation of public sentiment, and strategically tailoring government information to community needs require human oversight, similar to the tasks within the ""High"" score cluster involving complex human judgment. The score of 0.32 reflects AI's supportive role in planning and data processing while acknowledging the primary reliance on human insight and interpersonal skills in executing this task effectively.",success,0.35,"The task of attending community functions and meetings to provide service, understand public opinion, and provide information on government plans is primarily human-centric.  While Generative AI could potentially assist in aspects like summarizing meeting notes, generating reports on public opinion based on collected data, or drafting informational materials about government plans, the core elements of the task—interpersonal interaction, active listening, understanding nuanced opinions, and adapting communication styles to diverse audiences—require significant human skills and judgment.  The semantically similar tasks provided, such as receiving opinions from voters (0.345), performing work in a parliamentary office (0.26), and obtaining information from government officials (0.385), all received adjusted scores below 0.4, reflecting the limitations of generative AI in handling complex human interactions and political/social contexts.  These tasks, like the target task, involve significant human interaction and judgment, making full automation unlikely.  The access to technology in Poland might enhance AI's supporting role in data analysis and report generation, but the core human elements remain irreplaceable.  Therefore, an adjusted score of 0.35 reflects the potential for AI to assist in certain aspects of the task, but not to fully automate it.",0.335,predicted,0.22,0.31,0.07,0.04,Not Exposed,Not affected,2025,Gmyrek et al. 2025 ISCO-08 final scores
1111 - Legislators,1 - Managers,1111,Legislators,7,"Negotiating with other legislators and representatives of interest groups in order to reconcile differing interests, and to create policies and agreements;",0.2,success,0.275,"The task of negotiating with legislators and representatives of interest groups to reconcile differing interests and create policies involves complex interpersonal communication, strategic decision-making, and negotiation skills, which require nuanced human judgment, empathy, and understanding of political contexts. Generative AI can assist in supportive roles such as data analysis, suggesting negotiation strategies, and drafting initial communication materials, similar to the potential AI support for conducting negotiations and concluding contracts or collaborating with other entities, which have adjusted scores around 0.22 to 0.265. However, the core responsibilities of negotiating, particularly in the political arena, heavily rely on human skills to balance differing interests and to create agreements effectively, as indicated by the tasks involving obtaining information and explanations from government bodies, which score around 0.35 to 0.42. While the potential for AI to automate some procedural aspects is recognized, the need for human oversight is pronounced due to the nuanced and strategic nature of the negotiations. Given these factors and the high-income country context of Poland, where AI technology is readily accessible, an adjusted automation score of 0.275 reflects the limited but existing role of AI in automation, mainly in preparatory and supportive tasks, while acknowledging the critical need for human expertise and interaction.",success,0.25,"The task of negotiating with legislators and interest groups to create policies and agreements involves complex human interactions, strategic communication, and nuanced understanding of political dynamics.  This is similar to several tasks in the provided context, particularly those involving negotiation and relationship building.  Tasks such as ""Negotiating and agreeing with carriers"" (0.378), ""Obtaining information from government officials"" (0.385), ""Conducting negotiations with contractors"" (0.22-0.24), and ""Concluding agreements with family members"" (0.225) all received adjusted scores in the 0.22-0.4 range. These tasks, like the target task, require significant human judgment, interpersonal skills, and the ability to navigate complex social and political contexts. While Generative AI could potentially assist with data analysis, summarizing information, or drafting initial communication points, the core aspects of negotiation, persuasion, and compromise-making remain firmly in the human domain.  The high access to technology in Poland might enhance the efficiency of supporting tasks (e.g., research, data analysis), but it does not replace the need for human expertise in the core negotiation process. Therefore, an adjusted score of 0.25 reflects the limited but present potential for AI assistance in streamlining certain aspects of the negotiation process, while acknowledging the irreplaceable role of human interaction and judgment in achieving policy agreements.",0.2625,predicted,0.22,0.31,0.07,0.04,Not Exposed,Not affected,2025,Gmyrek et al. 2025 ISCO-08 final scores
1111 - Legislators,1 - Managers,1111,Legislators,8,"As members of the government, directing senior administrators and officials of government departments and agencies in the interpretation and implementation of government policies.",0.3,success,0.3,"The task of directing senior administrators and officials in interpreting and implementing government policies involves significant strategic oversight, leadership, and decision-making skills — areas where human judgment and interaction are crucial. Generative AI can assist with data analysis, drafting initial policy interpretations, and providing recommendations based on historical data or policy trends, but it cannot fully replace the nuanced understanding required to manage complex governmental processes and address unforeseen implications effectively. The adjusted scores for similar tasks, such as overseeing safe work environments and managing university or administrative roles (0.34, 0.385, 0.32), illustrate AI's supportive but non-autonomous role due to the complexity and necessity of human involvement in high-level management and strategic tasks. The context of Poland, a high-income country with robust technological infrastructure, supports greater use of AI but doesn't negate the persistent need for human leadership in such contexts. Given these factors, a score of 0.30 reflects AI's potential to support but not fully automate this multifaceted task.",success,0.35,"The task of directing senior administrators and officials in the interpretation and implementation of government policies (ISCO-08 1111) involves significant human judgment, strategic decision-making, and nuanced understanding of policy contexts.  While Generative AI could assist with tasks such as summarizing policy documents, identifying potential inconsistencies, or generating initial drafts of communication materials, the core responsibilities of this role—strategic leadership, conflict resolution, negotiation, and ensuring effective policy implementation—require significant human expertise and cannot be fully automated.

The provided context includes several semantically similar tasks, such as overseeing a safe work environment and ensuring compliance with regulations (adjusted score 0.32-0.36), directing a university department (adjusted score 0.385), initiating and developing government policies (adjusted score 0.35-0.39), and ensuring cooperation of subordinate central offices (adjusted score 0.29-0.3). These tasks all involve managerial oversight, strategic decision-making, and complex human interactions, resulting in relatively low automation scores.

Although Poland has widespread access to computers and the internet, this does not negate the need for human judgment and expertise in interpreting and implementing complex government policies.  Generative AI can play a supporting role by streamlining certain administrative tasks and providing data-driven insights, but it cannot replace the core functions of leadership and strategic decision-making.  Therefore, an adjusted score of 0.35 reflects the limited but present potential for AI assistance in this task, aligning with the scores of similar managerial and policy-related tasks in the provided context.",0.325,predicted,0.22,0.31,0.07,0.04,Not Exposed,Not affected,2025,Gmyrek et al. 2025 ISCO-08 final scores
1112 - Senior Government Officials,1 - Managers,1112,Senior Government Officials,1,"Advising national, state, regional or local governments and legislators on policy matters;",0.3,success,0.35,"Advising national, state, regional, or local governments and legislators on policy matters involves significant strategic judgment, the understanding of political contexts, negotiation, and human interaction, which largely remain beyond the reach of current generative AI capabilities. The task shares similarities with ""Obtaining information and explanations from members of the Council of Ministers"" and ""Initiating and developing policies,"" both requiring a nuanced understanding of political environments and scored at 0.385 and 0.37, respectively. While AI can assist in compiling research, modeling policy impacts, and drafting preliminary reports, it is not well-suited to managing the interpersonal and situational aspects of legislative advising. Comparing with the adjusted score of 0.385 for obtaining information, which involves similar complexities and requires strategic insights, the task's potential for automation is primarily supportive rather than replacement. Additionally, considering the high-resource setting like Poland, which facilitates AI use for data processing and reporting, the adjusted score of 0.35 captures the current role AI can play in aiding, but not wholly automating, this consultative task.",success,0.35,"The task of advising governments and legislators on policy matters shares similarities with several tasks in the provided context, particularly those involving information gathering, analysis, and communication with stakeholders.  The semantically similar tasks, such as ""Receiving opinions, proposals, and requests from voters"" (0.345) and ""Obtaining information and explanations from members of the Council of Ministers"" (0.385), received adjusted scores in the 0.3-0.4 range. These tasks, like policy advising, require significant human judgment, political acumen, and an understanding of complex social and political contexts.  While Generative AI can assist in research, data analysis, and potentially drafting initial policy proposals, the core aspects of policy advising—strategic thinking, negotiation, and persuasive communication—remain firmly in the human domain.  The high access to technology in Poland may enhance AI's supportive role in research and information gathering, but it does not replace the need for human expertise in navigating the complexities of the political process and formulating effective policy recommendations.  Therefore, an adjusted score of 0.35 reflects the limited but present potential for AI assistance in streamlining information processing and supporting the research phase, while acknowledging the predominantly human-driven nature of policy advising.",0.35,predicted,0.32,0.38,0.16,0.08,Minimal Exposure,Not affected,2025,Gmyrek et al. 2025 ISCO-08 final scores
1112 - Senior Government Officials,1 - Managers,1112,Senior Government Officials,2,"Advising on the preparation of government budgets, laws and regulations, including amendments;",0.3,success,0.42,"The task of advising on the preparation of government budgets, laws, and regulations involves a mix of strategic judgment, legal understanding, and regulatory compliance, requiring significant human oversight. This is comparable to semantically similar tasks like supervising legislation processes (adjusted score: 0.35), achieving financial goals (adjusted score: 0.39), and preparing budget reports (adjusted score: 0.42). Generative AI can assist with drafting documents, data analysis, and providing historical insights, which streamlines part of the process but cannot fully replicate the nuanced decision-making and expertise needed in this context. The high access to technology in Poland aids Generative AI in improving efficiency in some areas, yet the inherently human aspects limit complete automation. Therefore, an adjusted score of 0.42 reflects a significant yet partial automation potential, acknowledging the requirement for a substantial human role in the strategic and regulatory aspects of this task.",success,0.45,"The task of advising on the preparation of government budgets, laws, and regulations, including amendments (ISCO-08 1112), shares similarities with several tasks in the provided dataset, particularly those involving budget development, financial planning, and legal compliance.  Semantically similar tasks, such as ""Participating in the development of the organization's budget in the part concerning employee costs"" (adjusted score 0.45), ""Proper allocation of budgetary resources and other financial means"" (adjusted score 0.385), and ""Preparing applications for the local budget project and financial plans"" (adjusted score 0.4025), all involve aspects of financial planning and resource allocation.  These tasks received adjusted scores in the 0.385-0.45 range, reflecting the significant role of human judgment and strategic decision-making, even with AI assistance in data analysis and report generation.  While Generative AI can assist with data analysis, drafting legal text, and summarizing regulations, the core aspects of this task—strategic policymaking, legal interpretation, and negotiation—require significant human expertise.  The high access to technology in Poland enhances AI's potential for supporting data analysis and document drafting, but it does not eliminate the need for human judgment in the complex and nuanced decision-making processes involved in government policy.  Therefore, an adjusted score of 0.45 reflects the balance between AI's potential to assist in data-driven aspects and the continued need for human expertise in strategic policymaking and legal interpretation.  This score aligns with the adjusted scores of semantically similar tasks, reflecting the moderate level of automation potential in this context.",0.435,predicted,0.32,0.38,0.16,0.08,Minimal Exposure,Not affected,2025,Gmyrek et al. 2025 ISCO-08 final scores
