case_id,occupation_code,occupation_title,case_type,user_task,candidate_1_ilo_task_id,candidate_1_text,candidate_2_ilo_task_id,candidate_2_text,candidate_3_ilo_task_id,candidate_3_text,candidate_4_ilo_task_id,candidate_4_text,candidate_5_ilo_task_id,candidate_5_text,candidate_6_ilo_task_id,candidate_6_text,candidate_7_ilo_task_id,candidate_7_text,candidate_8_ilo_task_id,candidate_8_text,human_decision,human_selected_ilo_task_id,reviewer,review_notes
e2-5221-exact-01,5221,Shopkeepers,blind_semantic_equivalence,"Determining product mix, stock and price levels for goods to be sold;",4,Determining prices and displaying goods for sale;,2,"Purchasing and ordering goods for sale from markets, wholesalers and other suppliers;",5,Selling goods to customers and advising them on product use;,3,Budgeting and maintaining records of stock levels and financial transactions;,7,Taking inventory of goods in stock.,6,Examining returned goods and deciding on appropriate action;,1,"Determining product mix, stock and price levels for goods to be sold;",,,,,,
e2-5221-exact-02,5221,Shopkeepers,blind_semantic_equivalence,"Purchasing and ordering goods for sale from markets, wholesalers and other suppliers;",2,"Purchasing and ordering goods for sale from markets, wholesalers and other suppliers;",7,Taking inventory of goods in stock.,5,Selling goods to customers and advising them on product use;,6,Examining returned goods and deciding on appropriate action;,3,Budgeting and maintaining records of stock levels and financial transactions;,4,Determining prices and displaying goods for sale;,1,"Determining product mix, stock and price levels for goods to be sold;",,,,,,
e2-5221-exact-03,5221,Shopkeepers,blind_semantic_equivalence,Taking an inventory of goods in stock.,6,Examining returned goods and deciding on appropriate action;,7,Taking inventory of goods in stock.,1,"Determining product mix, stock and price levels for goods to be sold;",3,Budgeting and maintaining records of stock levels and financial transactions;,4,Determining prices and displaying goods for sale;,2,"Purchasing and ordering goods for sale from markets, wholesalers and other suppliers;",5,Selling goods to customers and advising them on product use;,,,,,,
e2-5221-exact-04,5221,Shopkeepers,blind_semantic_equivalence,Set prices and put goods on display for customers.,2,"Purchasing and ordering goods for sale from markets, wholesalers and other suppliers;",3,Budgeting and maintaining records of stock levels and financial transactions;,6,Examining returned goods and deciding on appropriate action;,1,"Determining product mix, stock and price levels for goods to be sold;",5,Selling goods to customers and advising them on product use;,7,Taking inventory of goods in stock.,4,Determining prices and displaying goods for sale;,,,,,,
e2-5221-clear-01,5221,Shopkeepers,blind_semantic_equivalence,Order merchandise from wholesalers to replenish the shop.,7,Taking inventory of goods in stock.,3,Budgeting and maintaining records of stock levels and financial transactions;,6,Examining returned goods and deciding on appropriate action;,5,Selling goods to customers and advising them on product use;,4,Determining prices and displaying goods for sale;,2,"Purchasing and ordering goods for sale from markets, wholesalers and other suppliers;",1,"Determining product mix, stock and price levels for goods to be sold;",,,,,,
e2-5221-clear-02,5221,Shopkeepers,blind_semantic_equivalence,Keep records of store inventory and financial sales transactions.,6,Examining returned goods and deciding on appropriate action;,1,"Determining product mix, stock and price levels for goods to be sold;",5,Selling goods to customers and advising them on product use;,3,Budgeting and maintaining records of stock levels and financial transactions;,4,Determining prices and displaying goods for sale;,7,Taking inventory of goods in stock.,2,"Purchasing and ordering goods for sale from markets, wholesalers and other suppliers;",,,,,,
e2-5221-clear-03,5221,Shopkeepers,blind_semantic_equivalence,Help customers choose products and explain how to use them.,3,Budgeting and maintaining records of stock levels and financial transactions;,5,Selling goods to customers and advising them on product use;,7,Taking inventory of goods in stock.,2,"Purchasing and ordering goods for sale from markets, wholesalers and other suppliers;",1,"Determining product mix, stock and price levels for goods to be sold;",4,Determining prices and displaying goods for sale;,6,Examining returned goods and deciding on appropriate action;,,,,,,
e2-5221-clear-04,5221,Shopkeepers,blind_semantic_equivalence,Decide what action to take on returned purchases.,4,Determining prices and displaying goods for sale;,5,Selling goods to customers and advising them on product use;,2,"Purchasing and ordering goods for sale from markets, wholesalers and other suppliers;",7,Taking inventory of goods in stock.,1,"Determining product mix, stock and price levels for goods to be sold;",3,Budgeting and maintaining records of stock levels and financial transactions;,6,Examining returned goods and deciding on appropriate action;,,,,,,
e2-5221-difficult-01,5221,Shopkeepers,blind_semantic_equivalence,Choose which items the store should carry and their selling prices.,7,Taking inventory of goods in stock.,6,Examining returned goods and deciding on appropriate action;,3,Budgeting and maintaining records of stock levels and financial transactions;,1,"Determining product mix, stock and price levels for goods to be sold;",5,Selling goods to customers and advising them on product use;,2,"Purchasing and ordering goods for sale from markets, wholesalers and other suppliers;",4,Determining prices and displaying goods for sale;,,,,,,
e2-5221-difficult-02,5221,Shopkeepers,blind_semantic_equivalence,Count the items currently held on the shelves.,6,Examining returned goods and deciding on appropriate action;,2,"Purchasing and ordering goods for sale from markets, wholesalers and other suppliers;",5,Selling goods to customers and advising them on product use;,4,Determining prices and displaying goods for sale;,7,Taking inventory of goods in stock.,1,"Determining product mix, stock and price levels for goods to be sold;",3,Budgeting and maintaining records of stock levels and financial transactions;,,,,,,
e2-5221-difficult-03,5221,Shopkeepers,blind_semantic_equivalence,Record the shop's cash and inventory figures for budgeting.,3,Budgeting and maintaining records of stock levels and financial transactions;,1,"Determining product mix, stock and price levels for goods to be sold;",4,Determining prices and displaying goods for sale;,6,Examining returned goods and deciding on appropriate action;,5,Selling goods to customers and advising them on product use;,7,Taking inventory of goods in stock.,2,"Purchasing and ordering goods for sale from markets, wholesalers and other suppliers;",,,,,,
e2-5221-difficult-04,5221,Shopkeepers,blind_semantic_equivalence,Arrange the presentation and pricing of merchandise.,4,Determining prices and displaying goods for sale;,5,Selling goods to customers and advising them on product use;,2,"Purchasing and ordering goods for sale from markets, wholesalers and other suppliers;",7,Taking inventory of goods in stock.,6,Examining returned goods and deciding on appropriate action;,3,Budgeting and maintaining records of stock levels and financial transactions;,1,"Determining product mix, stock and price levels for goods to be sold;",,,,,,
e2-5221-related-01,5221,Shopkeepers,blind_semantic_equivalence,Design a seasonal advertising campaign for the shop.,6,Examining returned goods and deciding on appropriate action;,7,Taking inventory of goods in stock.,4,Determining prices and displaying goods for sale;,1,"Determining product mix, stock and price levels for goods to be sold;",2,"Purchasing and ordering goods for sale from markets, wholesalers and other suppliers;",5,Selling goods to customers and advising them on product use;,3,Budgeting and maintaining records of stock levels and financial transactions;,,,,,,
e2-5221-related-02,5221,Shopkeepers,blind_semantic_equivalence,Negotiate a lease for a new retail premises.,7,Taking inventory of goods in stock.,5,Selling goods to customers and advising them on product use;,2,"Purchasing and ordering goods for sale from markets, wholesalers and other suppliers;",1,"Determining product mix, stock and price levels for goods to be sold;",4,Determining prices and displaying goods for sale;,6,Examining returned goods and deciding on appropriate action;,3,Budgeting and maintaining records of stock levels and financial transactions;,,,,,,
