core_skill,core_skill_importance_2025_pct,future_net_increase_2025_2030,future_trend_category_derived,genai_substitution_capacity_category_derived
Analytical thinking,69,55,High Growth,Low
"Resilience, flexibility and agility",67,66,Very High Growth,Very Low-Low
Leadership and social influence,61,58,High Growth,Low
Creative thinking,57,66,Very High Growth,Low
Motivation and self-awareness,52,47,High Growth,Not shown
Technological literacy,51,68,Very High Growth,Low-Moderate
Empathy and active listening,50,46,High Growth,Very Low-Low
Curiosity and lifelong learning,50,61,Very High Growth,Low-Moderate
Talent management,47,58,High Growth,Low
Service orientation and customer service,47,41,High Growth,Low
AI and big data,45,87,Very High Growth,Moderate-High
Systems thinking,42,51,High Growth,Moderate
Resource management and operations,41,24,Moderate Growth,Low-Moderate
Dependability and attention to detail,37,12,Slight Growth,Low-Moderate
Quality control,35,20,Moderate Growth,Low-Moderate
Teaching and mentoring,26,30,Moderate Growth,Low
Networks and cybersecurity,25,70,Very High Growth,Low-Moderate
Design and user experience,25,45,High Growth,Low-Moderate
Multi-lingualism,23,16,Slight Growth,Moderate
Marketing and media,21,25,Moderate Growth,Moderate
"Reading, writing and mathematics",21,-4,Declining,Moderate-High
Environmental stewardship,20,53,High Growth,Low
Programming,17,27,Moderate Growth,Moderate
"Manual dexterity, endurance and precision",14,-24,Declining,Very Low-Low
Global citizenship,13,19,Slight Growth,Low
Sensory-processing abilities,6,13,Slight Growth,Very Low-Low
